,timestamp,PM2.5,humidity,temperature
0,27/05/2020 12:00,23.66,64.09,29.96
1,27/05/2020 13:00,23.08,63.05,30.07
2,27/05/2020 14:00,25.68,67.51,29.77
3,27/05/2020 15:00,26.37,71.17,29.11
4,27/05/2020 16:00,27.57,71.6,29.08
5,27/05/2020 17:00,29.43,74.35,28.59
6,27/05/2020 18:00,32.72,75.46,28.48
7,27/05/2020 19:00,32.56,75.69,28.09
8,27/05/2020 20:00,32.33,76.6,27.8
9,27/05/2020 21:00,34.33,76.48,27.74
10,27/05/2020 22:00,33.18,76.74,27.83
11,27/05/2020 23:00,35.56,77.19,27.82
12,28/05/2020 00:00,36.17,78.44,27.76
13,28/05/2020 01:00,38.84,80.32,27.58
14,28/05/2020 02:00,34.76,80.27,27.58
15,28/05/2020 03:00,34.14,80.44,27.48
16,28/05/2020 04:00,36.63,79.4,27.5
17,28/05/2020 05:00,44.89,78.54,27.45
18,28/05/2020 06:00,40.18,78.87,27.4
19,28/05/2020 07:00,32.5,77.42,27.77
20,28/05/2020 08:00,37.83,76.79,28.12
21,28/05/2020 09:00,37.73,73.41,28.74
22,28/05/2020 10:00,36.83,71.09,29.59
23,28/05/2020 11:00,32.58,67.22,30.33
24,28/05/2020 12:00,31.14,63.89,31.15
25,28/05/2020 13:00,31.97,64.96,30.94
26,28/05/2020 14:00,33.67,64.2,31.35
27,28/05/2020 15:00,33.98,62.36,31.86
28,28/05/2020 16:00,35.43,63.14,31.58
29,28/05/2020 17:00,35.05,64.36,31.69
30,28/05/2020 18:00,37.35,65.87,31.23
31,28/05/2020 19:00,41.3,67.83,30.9
32,28/05/2020 20:00,35.57,68.98,30.41
33,28/05/2020 21:00,33.74,69.32,29.98
34,28/05/2020 22:00,37.78,72.53,29.52
35,28/05/2020 23:00,32.03,75.33,29.15
36,29/05/2020 00:00,27.14,78.41,28.89
37,29/05/2020 01:00,29.18,81.53,28.48
38,29/05/2020 02:00,33.98,82.08,28.39
39,29/05/2020 03:00,34.77,83.67,28.13
40,29/05/2020 04:00,35.46,83.89,28.12
41,29/05/2020 05:00,36.21,84.48,28.03
42,29/05/2020 06:00,34.07,84.5,27.97
43,29/05/2020 07:00,33.83,83.04,28.31
44,29/05/2020 08:00,34.67,82.57,28.34
45,29/05/2020 09:00,38.13,83.53,28.65
46,29/05/2020 10:00,34.94,77.63,29.91
47,29/05/2020 11:00,31.62,72.49,31.22
48,29/05/2020 12:00,30.66,68.23,32.48
49,29/05/2020 13:00,28.0,60.54,34.08
50,29/05/2020 14:00,25.65,57.08,34.86
51,29/05/2020 15:00,25.17,53.41,36.01
52,29/05/2020 16:00,24.36,56.03,35.63
53,29/05/2020 17:00,25.83,60.13,34.59
54,29/05/2020 18:00,26.99,64.64,33.57
55,29/05/2020 19:00,28.33,68.33,32.53
56,29/05/2020 20:00,26.96,69.39,31.53
57,29/05/2020 21:00,27.63,70.54,30.78
58,29/05/2020 22:00,32.2,74.23,30.3
59,29/05/2020 23:00,31.46,78.31,29.9
60,30/05/2020 00:00,28.2,79.22,29.7
61,30/05/2020 01:00,25.99,80.49,29.52
62,30/05/2020 02:00,24.18,81.83,29.33
63,30/05/2020 03:00,22.51,82.33,29.13
64,30/05/2020 04:00,21.78,82.96,29.0
65,30/05/2020 05:00,20.82,83.93,28.88
66,30/05/2020 06:00,20.83,84.99,28.9
67,30/05/2020 07:00,21.56,84.03,29.41
68,30/05/2020 08:00,25.97,80.64,30.09
69,30/05/2020 09:00,29.46,74.16,31.39
70,30/05/2020 10:00,28.75,68.52,32.52
71,30/05/2020 11:00,25.01,64.0,33.23
72,30/05/2020 12:00,22.32,56.23,34.59
73,30/05/2020 13:00,21.08,48.24,36.39
74,30/05/2020 14:00,21.04,46.93,37.03
75,30/05/2020 15:00,21.26,48.68,36.74
76,30/05/2020 16:00,21.23,47.11,37.55
77,30/05/2020 17:00,21.32,49.08,37.11
78,30/05/2020 18:00,25.18,56.65,35.08
79,30/05/2020 19:00,31.49,58.72,33.99
80,30/05/2020 20:00,36.77,63.26,32.59
81,30/05/2020 21:00,40.97,68.27,31.67
82,30/05/2020 22:00,33.78,79.64,29.52
83,30/05/2020 23:00,23.52,82.21,28.72
84,31/05/2020 00:00,28.75,82.03,29.21
85,31/05/2020 01:00,30.24,83.78,29.37
86,31/05/2020 02:00,22.7,84.99,29.38
87,31/05/2020 03:00,18.98,85.21,29.42
88,31/05/2020 04:00,19.09,85.47,29.36
89,31/05/2020 05:00,19.99,86.2,29.19
90,31/05/2020 06:00,23.28,86.43,29.09
91,31/05/2020 07:00,30.87,84.78,29.57
92,31/05/2020 08:00,43.25,81.19,30.28
93,31/05/2020 09:00,43.73,75.55,31.43
94,31/05/2020 10:00,34.49,68.35,32.82
95,31/05/2020 11:00,29.68,61.98,34.33
96,31/05/2020 12:00,24.18,54.54,35.58
97,31/05/2020 13:00,19.55,49.92,36.33
98,31/05/2020 14:00,19.1,50.04,36.42
99,31/05/2020 15:00,17.81,48.43,36.66
100,31/05/2020 16:00,17.85,48.74,36.58
101,31/05/2020 17:00,20.04,50.8,36.73
102,31/05/2020 18:00,21.39,55.09,35.52
103,31/05/2020 19:00,24.58,56.8,34.78
104,31/05/2020 20:00,37.64,63.31,33.93
105,31/05/2020 21:00,45.58,67.28,33.01
106,31/05/2020 22:00,53.08,68.59,32.39
107,31/05/2020 23:00,36.52,66.31,32.13
108,01/06/2020 00:00,26.58,65.91,31.8
109,01/06/2020 01:00,24.92,68.68,31.32
110,01/06/2020 02:00,22.83,69.05,31.03
111,01/06/2020 03:00,21.32,73.69,30.75
112,01/06/2020 04:00,21.62,75.77,30.37
113,01/06/2020 05:00,21.43,75.98,30.24
114,01/06/2020 06:00,22.83,77.26,30.17
115,01/06/2020 07:00,23.42,75.98,30.28
116,01/06/2020 08:00,65.93,72.62,31.17
117,01/06/2020 09:00,63.81,66.56,32.43
118,01/06/2020 10:00,22.85,59.29,33.79
119,01/06/2020 11:00,20.33,52.13,35.18
120,01/06/2020 12:00,19.68,47.78,36.24
121,01/06/2020 13:00,19.37,44.42,37.69
122,01/06/2020 14:00,19.4,44.93,37.68
123,01/06/2020 15:00,19.62,48.76,37.23
124,01/06/2020 16:00,19.45,47.64,37.58
125,01/06/2020 17:00,19.24,49.22,36.53
126,01/06/2020 18:00,18.94,69.04,29.49
127,01/06/2020 19:00,20.53,74.58,28.85
128,01/06/2020 20:00,26.68,78.02,28.36
129,01/06/2020 21:00,26.8,83.56,27.74
130,01/06/2020 22:00,24.39,81.18,27.83
131,01/06/2020 23:00,25.9,81.01,28.23
132,02/06/2020 00:00,23.94,81.28,28.64
133,02/06/2020 01:00,27.78,83.05,28.63
134,02/06/2020 02:00,33.73,83.37,28.61
135,02/06/2020 03:00,31.72,82.74,28.67
136,02/06/2020 04:00,35.51,84.63,28.54
137,02/06/2020 05:00,43.33,83.95,28.5
138,02/06/2020 06:00,32.7,82.9,28.64
139,02/06/2020 07:00,29.69,80.63,29.29
140,02/06/2020 08:00,28.21,74.1,30.11
141,02/06/2020 09:00,25.48,65.27,31.53
142,02/06/2020 10:00,21.72,56.61,33.23
143,02/06/2020 11:00,22.14,53.99,34.56
144,02/06/2020 12:00,20.4,50.05,35.84
145,02/06/2020 13:00,20.31,48.35,36.95
146,02/06/2020 14:00,19.61,46.48,37.9
147,02/06/2020 15:00,19.67,42.06,39.21
148,02/06/2020 16:00,19.01,42.98,38.78
149,02/06/2020 17:00,19.64,47.58,37.08
150,02/06/2020 18:00,21.26,66.08,31.3
151,02/06/2020 19:00,23.42,60.65,31.49
152,02/06/2020 20:00,32.14,63.45,31.05
153,02/06/2020 21:00,62.04,69.36,30.83
154,02/06/2020 22:00,61.2,73.78,30.57
155,02/06/2020 23:00,53.22,77.34,30.46
156,03/06/2020 00:00,41.84,78.48,30.37
157,03/06/2020 01:00,28.35,77.9,30.29
158,03/06/2020 02:00,23.11,77.93,30.11
159,03/06/2020 03:00,22.58,79.07,29.95
160,03/06/2020 04:00,22.4,80.77,29.76
161,03/06/2020 05:00,22.61,81.23,29.52
162,03/06/2020 06:00,23.33,81.49,29.44
163,03/06/2020 07:00,23.68,78.16,29.97
