timestamp,PM2.5,humidity,temperature
2021-01-01 00:00:00,13.9,59.3,14.9
2021-01-01 01:00:00,13.5,57.8,14.8
2021-01-01 02:00:00,15.6,55.1,14.3
2021-01-01 03:00:00,28.1,61.5,13.2
2021-01-01 04:00:00,28.3,56.4,12.4
2021-01-01 05:00:00,32.5,54.1,12.1
2021-01-01 06:00:00,18.4,56.3,11.5
2021-01-01 07:00:00,17.4,55.1,11.2
2021-01-01 08:00:00,20.4,53.1,11.1
2021-01-01 09:00:00,18.0,44.9,11.7
2021-01-01 10:00:00,13.8,39.5,12.9
2021-01-01 11:00:00,12.5,37.0,13.9
2021-01-01 12:00:00,11.6,30.3,17.2
2021-01-01 13:00:00,11.1,27.5,17.6
2021-01-01 14:00:00,10.9,27.4,17.9
2021-01-01 15:00:00,10.0,27.3,18.2
2021-01-01 16:00:00,10.9,28.6,18.3
2021-01-01 17:00:00,11.0,30.2,18.1
2021-01-01 18:00:00,12.8,33.7,17.5
2021-01-01 19:00:00,15.7,36.8,17.0
2021-01-01 20:00:00,20.9,40.0,16.7
2021-01-01 21:00:00,22.9,40.4,16.6
2021-01-01 22:00:00,28.4,43.1,16.1
2021-01-01 23:00:00,28.8,47.8,15.4
2021-01-02 00:00:00,33.9,50.3,15.0
2021-01-02 01:00:00,42.5,50.4,14.3
2021-01-02 02:00:00,47.2,58.1,13.8
2021-01-02 03:00:00,40.5,63.5,13.2
2021-01-02 04:00:00,30.7,65.8,13.1
2021-01-02 05:00:00,31.9,66.3,12.9
2021-01-02 06:00:00,40.1,65.9,12.3
2021-01-02 07:00:00,31.3,65.4,11.8
2021-01-02 08:00:00,27.6,61.2,12.0
2021-01-02 09:00:00,28.7,61.4,12.7
2021-01-02 10:00:00,30.4,56.9,14.0
2021-01-02 11:00:00,27.8,51.2,15.3
2021-01-02 12:00:00,27.8,41.7,18.6
2021-01-02 13:00:00,25.7,39.3,18.9
2021-01-02 14:00:00,25.4,39.1,19.2
2021-01-02 15:00:00,24.9,38.5,19.5
2021-01-02 16:00:00,22.8,38.8,19.5
2021-01-02 17:00:00,24.7,40.0,19.5
2021-01-02 18:00:00,30.0,43.2,18.6
2021-01-02 19:00:00,31.5,44.8,18.1
2021-01-02 20:00:00,37.4,47.5,17.8
2021-01-02 21:00:00,39.3,48.5,17.3
2021-01-02 22:00:00,32.9,53.8,16.2
2021-01-02 23:00:00,23.5,58.7,15.6
2021-01-03 00:00:00,20.5,63.0,15.4
2021-01-03 01:00:00,22.5,67.5,14.9
2021-01-03 02:00:00,26.5,69.7,14.3
2021-01-03 03:00:00,25.8,73.8,13.6
2021-01-03 04:00:00,24.7,74.5,13.7
2021-01-03 05:00:00,49.1,72.2,13.5
2021-01-03 06:00:00,32.7,70.2,12.5
2021-01-03 07:00:00,34.5,69.2,12.4
2021-01-03 08:00:00,35.6,67.9,12.9
2021-01-03 09:00:00,42.8,67.1,14.0
2021-01-03 10:00:00,46.6,66.5,15.0
2021-01-03 11:00:00,43.1,60.0,16.3
2021-01-03 12:00:00,43.7,53.0,18.3
2021-01-03 13:00:00,37.7,51.3,19.1
2021-01-03 14:00:00,22.5,46.6,19.8
2021-01-03 15:00:00,18.3,46.4,19.2
2021-01-03 16:00:00,13.7,47.7,18.6
2021-01-03 17:00:00,13.2,47.8,18.2
2021-01-03 18:00:00,13.6,49.3,17.9
2021-01-03 19:00:00,17.0,52.6,17.7
2021-01-03 20:00:00,17.9,54.4,17.6
2021-01-03 21:00:00,18.5,55.0,17.7
2021-01-03 22:00:00,19.3,54.0,17.7
2021-01-03 23:00:00,26.6,53.9,17.3
2021-01-04 00:00:00,25.7,54.5,16.7
2021-01-04 01:00:00,26.4,54.6,16.6
2021-01-04 02:00:00,29.6,55.3,16.5
2021-01-04 03:00:00,31.7,57.4,16.3
2021-01-04 04:00:00,33.9,60.3,16.2
2021-01-04 05:00:00,31.6,61.2,16.2
2021-01-04 06:00:00,26.0,63.0,16.1
2021-01-04 07:00:00,29.9,62.6,15.8
2021-01-04 08:00:00,27.8,62.2,16.1
2021-01-04 09:00:00,29.3,58.4,16.6
2021-01-04 10:00:00,27.7,52.7,17.4
2021-01-04 11:00:00,23.7,46.4,18.3
2021-01-04 12:00:00,23.3,43.8,18.9
2021-01-04 13:00:00,21.7,42.4,19.8
2021-01-04 14:00:00,21.1,41.0,20.6
2021-01-04 15:00:00,20.4,41.2,20.9
2021-01-04 16:00:00,19.4,42.3,20.7
2021-01-04 17:00:00,19.5,43.1,20.5
2021-01-04 18:00:00,24.2,45.1,20.3
2021-01-04 19:00:00,27.5,47.7,20.0
2021-01-04 20:00:00,26.6,51.0,19.1
2021-01-04 21:00:00,28.2,54.2,18.6
2021-01-04 22:00:00,28.1,55.8,18.2
2021-01-04 23:00:00,33.5,59.2,17.7
2021-01-05 00:00:00,35.8,60.5,17.7
2021-01-05 01:00:00,36.4,61.9,18.1
2021-01-05 02:00:00,36.2,65.5,18.1
2021-01-05 03:00:00,34.1,68.0,17.9
2021-01-05 04:00:00,36.8,70.2,17.5
2021-01-05 05:00:00,40.2,70.3,17.6
2021-01-05 06:00:00,51.9,70.8,17.2
2021-01-05 07:00:00,43.1,71.0,17.0
2021-01-05 08:00:00,38.9,68.2,17.1
2021-01-05 09:00:00,53.9,70.3,17.6
2021-01-05 10:00:00,47.1,67.2,18.0
2021-01-05 11:00:00,44.9,62.8,18.9
2021-01-05 12:00:00,42.9,61.5,19.5
2021-01-05 13:00:00,44.2,61.3,20.0
2021-01-05 14:00:00,42.2,61.2,20.1
2021-01-05 15:00:00,40.8,61.4,19.8
2021-01-05 16:00:00,45.0,62.4,19.7
2021-01-05 17:00:00,34.4,62.9,19.7
2021-01-05 18:00:00,26.7,63.4,19.7
2021-01-05 19:00:00,25.0,63.8,19.6
2021-01-05 20:00:00,23.7,66.0,19.3
2021-01-05 21:00:00,21.0,67.3,19.2
2021-01-05 22:00:00,24.0,68.2,19.0
2021-01-05 23:00:00,25.6,70.8,18.5
2021-01-06 00:00:00,26.3,74.5,17.9
2021-01-06 01:00:00,27.7,75.3,17.6
2021-01-06 02:00:00,26.6,74.4,17.2
2021-01-06 03:00:00,28.3,74.4,17.0
2021-01-06 04:00:00,30.2,74.1,16.7
2021-01-06 05:00:00,27.5,74.0,16.4
2021-01-06 06:00:00,24.6,73.5,16.5
2021-01-06 07:00:00,25.6,73.0,16.6
2021-01-06 08:00:00,26.7,71.9,16.7
2021-01-06 09:00:00,28.2,69.4,17.0
