Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,2021-01-01 00:00:00,75.25,66.3,13.3
1,2021-01-01 01:00:00,66.35,62.6,13.2
2,2021-01-01 02:00:00,75.11,56.7,13.1
3,2021-01-01 03:00:00,102.69,62.7,12.6
4,2021-01-01 04:00:00,106.17,58.5,12.1
5,2021-01-01 05:00:00,135.64,54.4,11.7
6,2021-01-01 06:00:00,88.06,55.7,11.3
7,2021-01-01 07:00:00,76.5,54.8,11.0
8,2021-01-01 08:00:00,82.8,49.3,12.8
9,2021-01-01 09:00:00,62.4,37.1,16.1
10,2021-01-01 10:00:00,54.3,31.6,17.8
11,2021-01-01 11:00:00,57.4,29.6,19.3
12,2021-01-01 12:00:00,49.4,26.6,20.0
13,2021-01-01 13:00:00,49.0,25.1,20.2
14,2021-01-01 14:00:00,52.4,25.4,20.4
15,2021-01-01 15:00:00,50.5,26.4,20.5
16,2021-01-01 16:00:00,56.0,28.7,19.7
17,2021-01-01 17:00:00,59.7,32.2,18.3
18,2021-01-01 18:00:00,72.2,37.6,16.8
19,2021-01-01 19:00:00,97.4,38.1,16.3
20,2021-01-01 20:00:00,132.1,42.9,15.8
21,2021-01-01 21:00:00,144.7,43.7,15.4
22,2021-01-01 22:00:00,172.9,44.3,15.3
23,2021-01-01 23:00:00,194.8,48.3,14.7
24,2021-01-02 00:00:00,224.67,53.6,14.3
25,2021-01-02 01:00:00,243.47,55.3,13.7
26,2021-01-02 02:00:00,266.97,59.1,12.9
27,2021-01-02 03:00:00,244.03,64.0,12.5
28,2021-01-02 04:00:00,184.86,68.2,12.2
29,2021-01-02 05:00:00,162.98,68.9,12.1
30,2021-01-02 06:00:00,193.34,69.3,11.8
31,2021-01-02 07:00:00,176.78,69.0,11.3
32,2021-01-02 08:00:00,140.63,57.3,13.3
33,2021-01-02 09:00:00,158.0,47.6,17.1
34,2021-01-02 10:00:00,135.8,40.8,19.2
35,2021-01-02 11:00:00,138.4,39.4,20.4
36,2021-01-02 12:00:00,139.2,36.6,21.2
37,2021-01-02 13:00:00,138.3,36.6,21.3
38,2021-01-02 14:00:00,126.2,35.8,21.9
39,2021-01-02 15:00:00,118.0,37.1,20.4
40,2021-01-02 16:00:00,129.0,38.1,20.1
41,2021-01-02 17:00:00,162.2,41.2,18.8
42,2021-01-02 18:00:00,202.5,44.4,17.8
43,2021-01-02 19:00:00,208.1,48.4,17.1
44,2021-01-02 20:00:00,244.69,54.6,16.4
45,2021-01-02 21:00:00,247.76,55.5,15.8
46,2021-01-02 22:00:00,189.76,59.1,14.9
47,2021-01-02 23:00:00,135.47,63.2,14.4
48,2021-01-03 00:00:00,128.19,67.8,14.1
49,2021-01-03 01:00:00,117.37,69.5,14.0
50,2021-01-03 02:00:00,141.96,71.8,13.7
51,2021-01-03 03:00:00,141.63,74.5,13.1
52,2021-01-03 04:00:00,119.74,75.5,13.2
53,2021-01-03 05:00:00,196.08,74.7,13.0
54,2021-01-03 06:00:00,170.35,71.0,12.5
55,2021-01-03 07:00:00,157.1,69.6,12.2
56,2021-01-03 08:00:00,181.08,64.5,14.2
57,2021-01-03 09:00:00,197.11,53.6,18.6
58,2021-01-03 10:00:00,217.6,48.8,20.8
59,2021-01-03 11:00:00,196.6,45.2,22.2
60,2021-01-03 12:00:00,189.5,43.0,22.6
61,2021-01-03 13:00:00,191.1,47.0,21.1
62,2021-01-03 14:00:00,117.7,45.1,20.6
63,2021-01-03 15:00:00,101.9,46.7,19.0
64,2021-01-03 16:00:00,82.0,47.8,18.3
65,2021-01-03 17:00:00,77.6,49.5,17.8
