Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,2021-01-01 00:00:00,67.53,73.3,10.8
1,2021-01-01 01:00:00,79.8,73.1,11.2
2,2021-01-01 02:00:00,71.3,75.2,10.9
3,2021-01-01 03:00:00,64.2,78.3,10.4
4,2021-01-01 04:00:00,70.4,80.1,
5,2021-01-01 05:00:00,77.0,83.2,
6,2021-01-01 06:00:00,67.22,79.5,
7,2021-01-01 07:00:00,67.82,70.8,
8,2021-01-01 08:00:00,70.59,65.0,10.3
9,2021-01-01 09:00:00,70.4,48.6,11.9
10,2021-01-01 10:00:00,71.7,45.1,12.9
11,2021-01-01 11:00:00,66.1,40.6,13.7
12,2021-01-01 12:00:00,62.9,37.2,14.5
13,2021-01-01 13:00:00,59.1,36.1,15.3
14,2021-01-01 14:00:00,53.9,33.9,16.6
15,2021-01-01 15:00:00,50.3,33.6,17.0
16,2021-01-01 16:00:00,50.3,34.3,17.6
17,2021-01-01 17:00:00,55.3,40.9,15.6
18,2021-01-01 18:00:00,96.01,55.6,13.4
19,2021-01-01 19:00:00,88.71,60.9,12.4
20,2021-01-01 20:00:00,76.4,57.1,12.2
21,2021-01-01 21:00:00,75.54,54.2,12.3
22,2021-01-01 22:00:00,77.7,53.1,12.1
23,2021-01-01 23:00:00,77.5,53.8,11.9
24,2021-01-02 00:00:00,77.7,57.1,11.3
25,2021-01-02 01:00:00,63.59,66.0,10.1
26,2021-01-02 02:00:00,63.42,67.6,10.0
27,2021-01-02 03:00:00,66.85,70.4,10.0
28,2021-01-02 04:00:00,63.53,71.9,
29,2021-01-02 05:00:00,60.95,73.2,
30,2021-01-02 06:00:00,57.55,78.5,
31,2021-01-02 07:00:00,65.83,78.1,
32,2021-01-02 08:00:00,68.38,76.1,10.2
33,2021-01-02 09:00:00,82.9,71.5,11.9
34,2021-01-02 10:00:00,96.14,65.4,13.5
35,2021-01-02 11:00:00,114.32,61.9,14.8
36,2021-01-02 12:00:00,134.34,58.0,15.9
37,2021-01-02 13:00:00,140.16,52.0,17.2
38,2021-01-02 14:00:00,128.5,48.2,18.3
39,2021-01-02 15:00:00,122.6,44.6,19.3
40,2021-01-02 16:00:00,111.7,42.6,19.2
41,2021-01-02 17:00:00,115.68,51.9,16.8
42,2021-01-02 18:00:00,115.74,55.3,15.4
43,2021-01-02 19:00:00,105.37,57.5,14.7
44,2021-01-02 20:00:00,100.55,58.2,14.5
45,2021-01-02 21:00:00,103.67,60.1,14.1
46,2021-01-02 22:00:00,104.18,60.1,14.2
47,2021-01-02 23:00:00,97.16,64.1,13.7
48,2021-01-03 00:00:00,108.69,66.1,13.5
49,2021-01-03 01:00:00,106.78,72.3,12.2
50,2021-01-03 02:00:00,93.75,74.0,11.9
51,2021-01-03 03:00:00,87.17,78.5,11.1
52,2021-01-03 04:00:00,92.31,80.6,10.6
53,2021-01-03 05:00:00,115.92,83.6,10.3
54,2021-01-03 06:00:00,137.27,84.7,10.4
55,2021-01-03 07:00:00,127.99,87.5,10.1
56,2021-01-03 08:00:00,132.33,84.1,11.3
57,2021-01-03 09:00:00,151.65,80.9,12.9
58,2021-01-03 10:00:00,153.62,74.0,14.7
59,2021-01-03 11:00:00,96.79,66.5,16.0
60,2021-01-03 12:00:00,92.01,64.1,17.0
61,2021-01-03 13:00:00,96.92,58.7,17.9
62,2021-01-03 14:00:00,101.76,53.4,18.8
63,2021-01-03 15:00:00,102.13,52.8,19.2
64,2021-01-03 16:00:00,93.24,55.3,18.6
65,2021-01-03 17:00:00,114.94,58.4,17.6
66,2021-01-03 18:00:00,95.83,64.0,16.1
67,2021-01-03 19:00:00,76.38,63.3,15.9
68,2021-01-03 20:00:00,77.0,59.8,16.1
69,2021-01-03 21:00:00,79.4,66.9,15.8
70,2021-01-03 22:00:00,60.77,74.0,15.2
