,time,u10,v10,total_precipitation,surface_pressure,evaporation
0,2021-01-01 00:00:00,-1.8373413,-3.4227753,0.0,100892.56,-1.4894409e-05
1,2021-01-01 03:00:00,-2.1000519,-3.202118,0.0,100943.0,-0.00015860866
2,2021-01-01 06:00:00,-0.96395874,-1.6770325,0.0,100597.56,-0.0002547698
3,2021-01-01 09:00:00,-0.72824097,-1.0589294,0.0,100351.31,-0.00014111353
4,2021-01-01 12:00:00,-0.87413025,-0.94480896,0.0,100449.125,-8.267816e-06
5,2021-01-01 15:00:00,-1.3868103,-0.85621643,0.0,100476.94,-7.1027316e-06
6,2021-01-01 18:00:00,-0.9155884,-1.2017975,0.0,100513.69,-5.9523154e-06
7,2021-01-01 21:00:00,-0.88760376,-1.8958588,0.0,100425.31,-5.2703544e-06
8,2021-01-02 00:00:00,-0.977005,-1.9388733,0.0,100590.56,-6.952556e-06
9,2021-01-02 03:00:00,-0.97358704,-1.345932,0.0,100602.75,-0.00015902915
10,2021-01-02 06:00:00,0.40118408,0.07685852,0.0,100201.06,-0.00026441598
11,2021-01-02 09:00:00,0.55252075,1.4762115,0.0,99970.875,-0.00013627368
12,2021-01-02 12:00:00,0.99887085,2.5938873,0.0,100057.875,-5.7793222e-06
13,2021-01-02 15:00:00,-2.0926666,0.91970825,0.0,100172.31,-1.9455329e-06
14,2021-01-02 18:00:00,-1.2882843,-1.2020264,0.0,100211.81,-2.5106128e-06
15,2021-01-02 21:00:00,-1.029068,-1.9100037,0.0,100211.44,-3.1569507e-06
16,2021-01-03 00:00:00,-1.0496216,-2.2900848,0.0,100401.56,-4.415866e-06
17,2021-01-03 03:00:00,-1.1198883,-2.70961,0.0,100535.125,-0.00012872578
18,2021-01-03 06:00:00,-1.5856476,-1.9039917,0.0,100279.81,-0.00018146704
19,2021-01-03 09:00:00,-1.8843994,-1.0187683,0.0,100167.94,-9.578676e-05
20,2021-01-03 12:00:00,-1.5132141,-0.52386475,0.0,100302.06,-6.593298e-06
21,2021-01-03 15:00:00,-0.5001526,-1.1530151,0.0,100406.375,-5.822163e-06
22,2021-01-03 18:00:00,-0.5406952,-2.1081085,0.0,100320.69,-4.8258808e-06
23,2021-01-03 21:00:00,-1.252655,-2.6415253,0.0,100296.44,-6.664777e-06
24,2021-01-04 00:00:00,-1.379715,-2.6854706,0.0,100426.56,-8.958392e-06
25,2021-01-04 03:00:00,-1.7640533,-2.1638641,0.0,100468.81,-8.7352935e-05
26,2021-01-04 06:00:00,-0.6085205,0.28178406,0.0,100159.44,-0.00015328918
27,2021-01-04 09:00:00,-0.07058716,1.4954987,0.0,99991.875,-8.9331996e-05
28,2021-01-04 12:00:00,1.3529816,2.0323334,0.0,100057.5,-2.2153836e-06
29,2021-01-04 15:00:00,-1.3423767,0.022964478,0.0,100095.375,-5.781185e-07
30,2021-01-04 18:00:00,-0.9109192,-1.0533447,0.0,100083.56,-4.2133033e-06
31,2021-01-04 21:00:00,-0.8216858,-2.2215424,0.0,100069.69,-4.4263434e-06
32,2021-01-05 00:00:00,-1.0097656,-2.3083649,0.0,100254.75,-7.5194985e-06
33,2021-01-05 03:00:00,-1.7846985,-1.7702484,1.9073486e-06,100376.5,-5.7274243e-05
34,2021-01-05 06:00:00,-1.8219452,-1.5193024,0.0,100115.81,-9.550736e-05
35,2021-01-05 09:00:00,-2.124298,-1.1731873,0.0,100035.25,-5.0556846e-05
36,2021-01-05 12:00:00,-1.4936981,-1.0364532,7.1525574e-06,100202.0,-1.1396594e-05
37,2021-01-05 15:00:00,-1.8678589,-1.7835541,2.861023e-06,100244.19,-1.317705e-05
38,2021-01-05 18:00:00,-1.9209595,-2.4891968,9.536743e-07,100168.69,-1.3326062e-05
39,2021-01-05 21:00:00,-2.670395,-3.5790558,0.0,100110.56,-1.5107915e-05
40,2021-01-06 00:00:00,-2.289505,-3.0207367,0.0,100252.5,-1.3858778e-05
41,2021-01-06 03:00:00,-2.2717285,-2.8507843,0.0,100314.81,-8.307421e-05
42,2021-01-06 06:00:00,-1.1177063,-1.704483,0.0,99920.5,-9.606918e-05
43,2021-01-06 09:00:00,-1.3208771,-0.6977997,0.0,99774.31,-5.9035374e-05
44,2021-01-06 12:00:00,-0.75737,-1.3178711,0.0,99856.69,-9.829411e-06
45,2021-01-06 15:00:00,-1.5068817,-2.2198792,0.0,99954.06,-1.17276795e-05
46,2021-01-06 18:00:00,-2.0140686,-3.4854126,0.0,99999.0,-1.0807533e-05
47,2021-01-06 21:00:00,-2.642044,-4.1233063,6.67572e-06,100000.625,-1.10636465e-05
48,2021-01-07 00:00:00,-2.8920593,-4.5287476,5.6266785e-05,100236.625,-2.333778e-05
49,2021-01-07 03:00:00,-3.384674,-5.2055664,1.1920929e-05,100380.625,-5.0536357e-05
50,2021-01-07 06:00:00,-3.312027,-5.0392914,1.5258789e-05,100130.5,-6.179605e-05
51,2021-01-07 09:00:00,-3.5406876,-4.7285156,4.7683716e-07,100056.25,-3.388268e-05
52,2021-01-07 12:00:00,-3.2360687,-4.648117,4.9114227e-05,100241.19,-1.6890233e-05
53,2021-01-07 15:00:00,-3.6069946,-5.013382,6.198883e-05,100415.75,-3.7946273e-05
54,2021-01-07 18:00:00,-3.5634003,-5.548218,9.059906e-05,100511.25,-4.619127e-05
55,2021-01-07 21:00:00,-3.7061768,-5.9013824,6.771088e-05,100519.875,-6.32063e-05
56,2021-01-08 00:00:00,-3.7216187,-6.149338,6.771088e-05,100780.69,-3.5979552e-05
57,2021-01-08 03:00:00,-3.6260529,-6.2980804,8.4877014e-05,100944.06,-5.3512864e-05
58,2021-01-08 06:00:00,-2.890503,-5.4830475,5.2452087e-06,100707.5,-5.0190836e-05
59,2021-01-08 09:00:00,-2.6865692,-4.634598,0.0,100610.06,-3.6014477e-05
60,2021-01-08 12:00:00,-2.3773956,-3.6885376,0.0,100719.5,-1.2893695e-05
61,2021-01-08 15:00:00,-2.4261475,-3.4329376,0.0,100729.125,-1.2745848e-05
62,2021-01-08 18:00:00,-2.9043732,-3.958603,0.0,100756.0,-1.2037577e-05
63,2021-01-08 21:00:00,-1.8691406,-3.4131622,0.0,100656.375,-1.3012439e-05
64,2021-01-09 00:00:00,-2.1732635,-3.7194672,0.0,100733.375,-1.4985912e-05
65,2021-01-09 03:00:00,-2.62529,-3.551941,0.0,100828.56,-7.923739e-05
66,2021-01-09 06:00:00,-1.6827545,-2.8721924,0.0,100505.81,-0.00012352644
67,2021-01-09 09:00:00,-2.0124664,-2.4394836,0.0,100300.69,-5.729776e-05
68,2021-01-09 12:00:00,-1.6647949,-1.9464264,0.0,100454.19,-1.3466226e-05
69,2021-01-09 15:00:00,-2.15596,-2.3187103,0.0,100537.375,-1.2766104e-05
70,2021-01-09 18:00:00,-2.7351837,-3.0187073,0.0,100549.625,-1.2963079e-05
71,2021-01-09 21:00:00,-1.9503174,-3.1619263,0.0,100514.5,-1.4188467e-05
72,2021-01-10 00:00:00,-1.4296265,-2.7007294,0.0,100663.875,-1.3889745e-05
73,2021-01-10 03:00:00,-2.1830597,-3.1838837,0.0,100739.56,-9.609922e-05
74,2021-01-10 06:00:00,-1.5497742,-2.4363708,0.0,100384.0,-0.00013203686
75,2021-01-10 09:00:00,-1.8363647,-1.2462921,0.0,100205.31,-7.088971e-05
76,2021-01-10 12:00:00,-1.1568451,-1.3057709,0.0,100354.06,-1.0901829e-05
77,2021-01-10 15:00:00,-2.570633,-2.953247,0.0,100561.56,-1.560105e-05
78,2021-01-10 18:00:00,-2.5546265,-4.102249,0.0,100698.56,-1.5227357e-05
79,2021-01-10 21:00:00,-2.8370972,-5.2566833,0.0,100772.19,-1.7193612e-05
80,2021-01-11 00:00:00,-2.0821228,-5.742035,0.0,101035.0,-1.77857e-05
81,2021-01-11 03:00:00,-2.8810883,-6.949875,0.0,101244.19,-6.148382e-05
82,2021-01-11 06:00:00,-2.4148102,-6.097412,0.0,100999.44,-0.000107783126
83,2021-01-11 09:00:00,-2.4083405,-4.9407196,0.0,100889.125,-0.000106957275
84,2021-01-11 12:00:00,-1.6028595,-2.824463,0.0,101000.31,-1.4075544e-05
85,2021-01-11 15:00:00,-1.0258636,-2.580124,0.0,101130.81,-1.1730939e-05
86,2021-01-11 18:00:00,-0.6082916,-2.337799,0.0,101146.69,-1.1099502e-05
87,2021-01-11 21:00:00,-0.6634064,-2.7686157,0.0,100995.44,-1.1366792e-05
88,2021-01-12 00:00:00,-0.19961548,-2.776062,0.0,101015.375,-1.1841068e-05
89,2021-01-12 03:00:00,-1.5105896,-4.2202606,0.0,101036.25,-0.00012902427
90,2021-01-12 06:00:00,-1.1864319,-2.9657898,0.0,100600.25,-0.00022589602
91,2021-01-12 09:00:00,-0.6721039,-1.2173767,0.0,100307.125,-0.00011144183
92,2021-01-12 12:00:00,0.49475098,0.17599487,0.0,100262.75,-4.1539315e-06
93,2021-01-12 15:00:00,0.54426575,-0.42523193,0.0,100294.5,-3.5797711e-06
94,2021-01-12 18:00:00,-0.30981445,-0.6651001,0.0,100232.5,-3.67756e-06
