,timestamp,PM2.5,humidity,temperature
0,27/05/2020 12:00,15.34,60.52,31.34
1,27/05/2020 13:00,13.7,60.85,31.08
2,27/05/2020 14:00,20.9,65.86,30.32
3,27/05/2020 15:00,23.78,68.63,29.85
4,27/05/2020 16:00,25.29,68.48,29.96
5,27/05/2020 17:00,31.25,72.01,29.25
6,27/05/2020 18:00,39.39,73.77,28.96
7,27/05/2020 19:00,40.57,74.23,28.6
8,27/05/2020 20:00,39.92,75.19,28.3
9,27/05/2020 21:00,50.15,75.74,28.25
10,27/05/2020 22:00,47.12,75.3,28.36
11,27/05/2020 23:00,63.48,75.34,28.59
12,28/05/2020 00:00,64.22,76.53,28.51
13,28/05/2020 01:00,60.03,78.16,28.32
14,28/05/2020 02:00,45.54,78.54,28.23
15,28/05/2020 03:00,42.56,78.6,28.07
16,28/05/2020 04:00,71.93,76.21,28.05
17,28/05/2020 05:00,80.59,76.66,28.07
18,28/05/2020 06:00,60.54,76.83,28.01
19,28/05/2020 07:00,51.63,76.34,28.3
20,28/05/2020 08:00,52.88,74.67,28.68
21,28/05/2020 09:00,41.68,70.78,29.21
22,28/05/2020 10:00,45.12,69.43,30.09
23,28/05/2020 11:00,37.88,66.67,30.63
24,28/05/2020 12:00,35.13,62.38,31.33
25,28/05/2020 13:00,34.75,61.7,31.63
26,28/05/2020 14:00,43.13,61.37,31.77
27,28/05/2020 15:00,43.15,60.18,32.08
28,28/05/2020 16:00,48.86,61.24,32.06
29,28/05/2020 17:00,50.46,63.46,31.74
30,28/05/2020 18:00,54.73,65.15,31.27
31,28/05/2020 19:00,62.86,66.49,31.06
32,28/05/2020 20:00,45.28,67.23,30.68
33,28/05/2020 21:00,41.33,67.7,30.33
34,28/05/2020 22:00,50.18,70.23,30.07
35,28/05/2020 23:00,38.57,72.67,29.85
36,29/05/2020 00:00,30.45,76.15,29.48
37,29/05/2020 01:00,32.88,79.41,28.99
38,29/05/2020 02:00,45.22,80.02,28.93
39,29/05/2020 03:00,48.0,81.34,28.71
40,29/05/2020 04:00,51.51,82.12,28.65
41,29/05/2020 05:00,54.88,82.79,28.48
42,29/05/2020 06:00,49.78,82.37,28.51
43,29/05/2020 07:00,51.33,80.98,28.82
44,29/05/2020 08:00,49.44,79.75,28.95
45,29/05/2020 09:00,61.45,80.8,29.16
46,29/05/2020 10:00,47.59,75.18,30.3
47,29/05/2020 11:00,37.01,70.51,31.53
48,29/05/2020 12:00,35.69,66.84,32.69
49,29/05/2020 13:00,27.46,58.93,34.32
50,29/05/2020 14:00,21.4,54.78,35.23
51,29/05/2020 15:00,18.5,53.28,35.71
52,29/05/2020 16:00,18.73,56.48,35.11
53,29/05/2020 17:00,23.09,61.24,33.94
54,29/05/2020 18:00,26.51,65.96,33.06
55,29/05/2020 19:00,27.63,68.43,32.41
56,29/05/2020 20:00,25.52,68.33,31.82
57,29/05/2020 21:00,24.44,69.08,31.15
58,29/05/2020 22:00,35.21,72.32,30.76
